Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
larceny,732.0,660.0,636.0,646.0,646.0,691.0,728.0,531.0,490.0,432.0,446.0,473.0
assault,12.0,14.0,13.0,11.0,12.0,9.0,3.0,4.0,16.0,20.0,16.0,20.0
murder,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0
arson,4.0,5.0,2.0,5.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0
robbery,18.0,7.0,4.0,4.0,15.0,15.0,10.0,7.0,6.0,15.0,4.0,4.0
mv-theft,55.0,50.0,35.0,39.0,29.0,36.0,25.0,27.0,23.0,20.0,25.0,33.0
burglary,115.0,119.0,131.0,90.0,101.0,126.0,161.0,77.0,95.0,145.0,170.0,112.0
property,902.0,829.0,802.0,775.0,776.0,853.0,914.0,635.0,608.0,597.0,641.0,618.0
violent-crimes,37,33.0,23.0,22.0,31.0,28.0,15.0,17.0,23.0,40.0,24.0,25.0
rape,7.0,12.0,6.0,7.0,4.0,2.0,2.0,5.0,1.0,5.0,2.0,
